"","clusternum","year","usage","num_rdt","num_rdt_positive","prev","lat","long"
"216",217,2015,0.685714285714286,15.11054,0,0,-0.348847,35.26752
"217",218,2015,0.893939393939394,4.545576,0,0,-0.16556,35.5892
"218",219,2015,0.761061946902655,16.311888,0,0,-0.524811,35.213032
"219",220,2015,0.832167832167832,22.15552,0,0,-0.689432,35.180565
"220",221,2015,0.829113924050633,41.584368,0,0,-0.82378,35.47669
"221",222,2015,0.757575757575757,8.6041,0,0,-0.852975,35.334054
"222",223,2015,0.889705882352941,4.718686,0,0,-0.746013,35.331456
"223",224,2015,0.511764705882353,30.758292,7.974372,0.259259259259259,0.448232,34.804635
"224",225,2015,0.377952755905512,30.45916,10.660706,0.35,0.219739,34.806762
"225",226,2015,0.538461538461538,29.983716,0,0,0.619688,34.933961
"226",227,2015,0.515337423312883,20.01398,12.008388,0.6,0.315329,34.529449
"227",228,2015,0.416,28.919008,14.459504,0.5,0.142936,34.527798
"228",229,2015,0.578313253012048,21.81909,0,0,0.306694,34.758768
"229",230,2015,0.63953488372093,5.337872,0,0,0.359015,34.486641
"230",231,2015,0.738805970149254,8.82282,2.352752,0.266666666666667,0.039008,34.675231
"231",232,2015,0.809090909090909,12.667382,5.846484,0.461538461538462,0.058688,34.62241
"232",233,2015,0.4140625,17.226258,1.230447,0.0714285714285714,0.117178,34.819749
"233",234,2015,0.826923076923077,3.817098,0.848244,0.222222222222222,0.093727,34.69793
"234",235,2015,0.836734693877551,12.90543,1.720724,0.133333333333333,0.077629,34.730172
"235",236,2015,0.576923076923077,42.977216,18.802532,0.4375,0.678036,34.493308
"236",237,2015,0.53921568627451,16.290252,0,0,0.635757,34.718724
"237",238,2015,0.537313432835821,24.09088,3.01136,0.125,0.731039,34.530624
"238",239,2015,0.165413533834586,22.138742,0,0,0.940081,34.730376
"239",240,2015,0.296052631578947,9.999025,3.99961,0.4,0.829679,34.756162
"240",241,2015,0.436708860759494,12.164294,3.20113,0.263157894736842,0.831406,34.726517
"241",242,2015,0.721854304635762,26.39195,16.6686,0.631578947368421,0.579619,34.372331
"242",243,2015,0.808333333333333,23.30314,6.990942,0.3,0.616486,34.250503
"243",244,2015,0.67910447761194,26.062498,11.84659,0.454545454545455,0.54432,34.236645
"244",245,2015,0.880952380952381,2.261672,0,0,0.625001,34.28438
"245",246,2015,0.557575757575758,10.987788,4.185824,0.380952380952381,0.474045,34.136326
